Year,Type,Country,Value,Unit,ISO-2,ISO-3,latitude,longitude
2018,Departure,Iceland,5183329,Passengers,IS, ISL,64.963051,-19.020835
2018,Departure,Norway,27627260,Passengers,NO, NOR,60.472024,8.468946
2018,Departure,United Kingdom,145594775,Passengers,GB, GBR,55.378051,-3.435973
2018,Departure,Switzerland,28456038,Passengers,CH, CHE,46.818188,8.227512
2019,Departure,Germany,124422007,Passengers,DE, DEU,51.165691,10.451526
2019,Departure,Austria,18140101,Passengers,AT, AUT,47.516231,14.550072
2019,Departure,Belgium,17684965,Passengers,BE, BEL,50.503887,4.469936
2019,Departure,Bulgaria,6020907,Passengers,BG, BGR,42.733883,25.485830
2019,Departure,Cyprus,5623650,Passengers,CY, CYP,35.126413,33.429859
2019,Departure,Croatia,5578856,Passengers,HR, HRV,45.100000,15.200000
2019,Departure,Denmark,18094261,Passengers,DK, DNK,56.263920,9.501785
2019,Departure,Slovakia,1420528,Passengers,SK, SVK,48.669026,19.699024
2019,Departure,Slovenia,858008,Passengers,SI, SVN,46.151241,14.995463
2019,Departure,Spain,135291509,Passengers,ES, ESP,40.463667,-3.749220
2019,Departure,Estonia,1653390,Passengers,EE, EST,58.595272,25.013607
2019,Departure,Finland,13172672,Passengers,FI, FIN,61.924110,25.748151
2019,Departure,France,99802703,Passengers,FR, FRA,46.227638,2.213749
2019,Departure,Greece,32449631,Passengers,GR, GRC,39.074208,21.824312
2019,Departure,Hungary,8395992,Passengers,HU, HUN,47.162494,19.503304
2019,Departure,Ireland,19033728,Passengers,IE, IRL,53.412910,-8.243890
2019,Departure,Italy,96365945,Passengers,IT, ITA,41.871940,12.567380
2019,Departure,Latvia,3892582,Passengers,LV, LVA,56.879635,24.603189
2019,Departure,Lithuania,3238363,Passengers,LT, LTU,55.169438,23.881275
2019,Departure,Luxembourg,2189504,Passengers,LU, LUX,49.815273,6.129583
2019,Departure,Malta,3656021,Passengers,MT, MLT,35.937496,14.375416
2019,Departure,Netherlands,40732817,Passengers,NL, NLD,52.132633,5.291266
2019,Departure,Poland,24446081,Passengers,PL, POL,51.919438,19.145136
2019,Departure,Portugal,30065372,Passengers,PT, PRT,39.399872,-8.224454
2019,Departure,Czech Republic,9406393,Passengers,CZ, CZE,49.817492,15.472962
2019,Departure,Romania,11444821,Passengers,RO, ROU,45.943161,24.966760
2019,Departure,Sweden,22050908,Passengers,SE, SWE,60.128161,18.643501
2019,Departure,Iceland,3881185,Passengers,IS, ISL,64.963051,-19.020835
2019,Departure,Norway,27739918,Passengers,NO, NOR,60.472024,8.468946
2019,Departure,United Kingdom,147797041,Passengers,GB, GBR,55.378051,-3.435973
2019,Departure,Switzerland,28942362,Passengers,CH, CHE,46.818188,8.227512
2020,Departure,Germany,31311257,Passengers,DE, DEU,51.165691,10.451526
2020,Departure,Austria,4663096,Passengers,AT, AUT,47.516231,14.550072
2020,Departure,Belgium,4679255,Passengers,BE, BEL,50.503887,4.469936
2020,Departure,Bulgaria,1939060,Passengers,BG, BGR,42.733883,25.485830
2020,Departure,Cyprus,1142936,Passengers,CY, CYP,35.126413,33.429859
2020,Departure,Croatia,1045496,Passengers,HR, HRV,45.100000,15.200000
2020,Departure,Denmark,4561062,Passengers,DK, DNK,56.263920,9.501785
2020,Departure,Slovakia,252540,Passengers,SK, SVK,48.669026,19.699024
2020,Departure,Slovenia,144323,Passengers,SI, SVN,46.151241,14.995463
2020,Departure,Spain,37628465,Passengers,ES, ESP,40.463667,-3.749220
2020,Departure,Estonia,428242,Passengers,EE, EST,58.595272,25.013607
2020,Departure,Finland,3187571,Passengers,FI, FIN,61.924110,25.748151
2020,Departure,France,32219375,Passengers,FR, FRA,46.227638,2.213749
2020,Departure,Greece,10885762,Passengers,GR, GRC,39.074208,21.824312
2020,Departure,Hungary,2023944,Passengers,HU, HUN,47.162494,19.503304
2020,Departure,Ireland,4132065,Passengers,IE, IRL,53.412910,-8.243890
2020,Departure,Italy,26402941,Passengers,IT, ITA,41.871940,12.567380
2020,Departure,Latvia,995348,Passengers,LV, LVA,56.879635,24.603189
2020,Departure,Lithuania,905164,Passengers,LT, LTU,55.169438,23.881275
2020,Departure,Luxembourg,709676,Passengers,LU, LUX,49.815273,6.129583
2020,Departure,Malta,883730,Passengers,MT, MLT,35.937496,14.375416
2020,Departure,Netherlands,11735425,Passengers,NL, NLD,52.132633,5.291266
2020,Departure,Poland,7245172,Passengers,PL, POL,51.919438,19.145136
2020,Departure,Portugal,9263255,Passengers,PT, PRT,39.399872,-8.224454
2020,Departure,Czech Republic,1938912,Passengers,CZ, CZE,49.817492,15.472962
2020,Departure,Romania,3578124,Passengers,RO, ROU,45.943161,24.966760
2020,Departure,Sweden,5498125,Passengers,SE, SWE,60.128161,18.643501
2020,Departure,Iceland,810445,Passengers,IS, ISL,64.963051,-19.020835
2020,Departure,Norway,10210833,Passengers,NO, NOR,60.472024,8.468946
2020,Departure,Switzerland,8026833,Passengers,CH, CHE,46.818188,8.227512
2010,Departure,Germany,957846,Flights,DE, DEU,51.165691,10.451526
2010,Departure,Austria,154523,Flights,AT, AUT,47.516231,14.550072
2010,Departure,Belgium,133634,Flights,BE, BEL,50.503887,4.469936
2010,Departure,Bulgaria,31141,Flights,BG, BGR,42.733883,25.485830
2010,Departure,Cyprus,30702,Flights,CY, CYP,35.126413,33.429859
2010,Departure,Croatia,32286,Flights,HR, HRV,45.100000,15.200000
2010,Departure,Denmark,162794,Flights,DK, DNK,56.263920,9.501785
2010,Departure,Slovakia,11735,Flights,SK, SVK,48.669026,19.699024
2010,Departure,Slovenia,13224,Flights,SI, SVN,46.151241,14.995463
2010,Departure,Spain,850693,Flights,ES, ESP,40.463667,-3.749220
2010,Departure,Estonia,12385,Flights,EE, EST,58.595272,25.013607
2010,Departure,Finland,118695,Flights,FI, FIN,61.924110,25.748151
2010,Departure,France,736560,Flights,FR, FRA,46.227638,2.213749
2010,Departure,Greece,203915,Flights,GR, GRC,39.074208,21.824312
2010,Departure,Hungary,46884,Flights,HU, HUN,47.162494,19.503304
2010,Departure,Ireland,101757,Flights,IE, IRL,53.412910,-8.243890
2010,Departure,Italy,667171,Flights,IT, ITA,41.871940,12.567380
2010,Departure,Latvia,33170,Flights,LV, LVA,56.879635,24.603189
2010,Departure,Lithuania,15846,Flights,LT, LTU,55.169438,23.881275
2010,Departure,Luxembourg,17787,Flights,LU, LUX,49.815273,6.129583
2010,Departure,Malta,14522,Flights,MT, MLT,35.937496,14.375416
2010,Departure,Netherlands,207041,Flights,NL, NLD,52.132633,5.291266
2010,Departure,Poland,120473,Flights,PL, POL,51.919438,19.145136
2010,Departure,Portugal,134333,Flights,PT, PRT,39.399872,-8.224454
